subplot_epsilon,ligand_monomer_count,series_label,row_type,point_index,x_raw,x_normalized,y,fit_alpha,fit_nu,M,plot_color_index
10,5,polyligand (N=5),fit,3,4,0.3157142857142857,6.507540555693737,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,4,5,0.3871428571428571,6.679683251348435,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,5,6,0.4585714285714285,6.775931379479029,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,6,7,0.53,6.806972878128994,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,7,8,0.6014285714285714,6.775931379479029,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,8,9,0.6728571428571429,6.679683251348435,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,9,10,0.7442857142857143,6.507540555693737,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,10,11,0.8157142857142857,6.235872409,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,11,12,0.8871428571428571,5.810849745,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,12,13,0.9585714285714286,5.072429414524718,5.156445058630374,0.6108350570278558,15,1
15,1,monoligand (N=1),scatter,0,1,0.071428571,6.183299541473389,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,1,2,0.14285714285714285,6.921756744384766,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,2,3,0.21428571428571427,7.445443630218506,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,3,4,0.2857142857142857,7.929916858673096,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,4,5,0.35714285714285715,8.209058762,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,5,6,0.42857142857142855,8.429199219,6.5372666776339985,0.6004893583269499,15,2
15,1,monoligand (N=1),scatter,6,7,0.5,8.470588684082031,6.5372666776339985,0.6004893583269499,15,2
